Write Threshold,Trace Name,Slow Chip,Fast Read Cost,Fast Write Cost,Slow Write Cost,Write Proportion,Average Read Block Size,Normalized Cost (%)
48,620,DDR5_6400AN,11,12,12,0.007225,6609.573333333334,0.0
48,bc_web,DDR5_6400AN,12,48,48,0.315143,104.31256664127952,0.0
48,641,DDR5_6400AN,13,0,0,5e-06,0.0,0.0
48,607,DDR5_6400AN,17,144,144,0.003454,13267.830985915492,0.0
48,623,DDR5_6400AN,10,10,10,0.000487,97858.5,0.0
48,pr_twi,DDR5_6400AN,10,22,22,0.04663,981.2729145211123,0.0
48,600,DDR5_6400AN,13,17,17,0.000516,81480.3,0.0
48,621,DDR5_6400AN,10,28,28,0.003612,11901.96,0.0
48,bc_twi,DDR5_6400AN,10,16,16,0.179182,219.88478027867095,0.0
48,628,DDR5_6400AN,12,39,39,0.003841,12039.8875,0.0
48,pr_web,DDR5_6400AN,9,25,25,0.051664,880.6728624535316,0.0
48,649,DDR5_6400AN,10,19,19,9.8e-05,490869.5,0.0
48,bfs_twi,DDR5_6400AN,10,19,19,0.018873,2496.211195928753,0.0
48,bc_road,DDR5_6400AN,10,15,15,0.241354,150.87867939538583,0.0
48,605,DDR5_6400AN,11,0,0,2.7e-05,0.0,0.0
48,603,DDR5_6400AN,13,146,146,0.017208,2739.5698324022346,0.0
48,bfs_web,DDR5_6400AN,10,49,49,0.011546,3710.1458333333335,0.0
48,638,DDR5_6400AN,10,47,47,0.00223,19247.934782608696,0.0
48,654,DDR5_6400AN,11,31,31,0.026629,1755.8537906137185,0.0
48,644,DDR5_6400AN,13,40,40,0.000445,103674.11111111111,0.0
48,619,DDR5_6400AN,13,13,13,0.072935,609.9400921658986,0.0
